study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,study_day,study_date,body_weight_g
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,1,2025-02-03,228.6
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,7,2025-02-10,255.7
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,14,2025-02-17,280.3
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,21,2025-02-24,301.8
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,28,2025-03-03,315.4
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,1,2025-02-03,233.4
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,7,2025-02-10,261.2
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,14,2025-02-17,286.4
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,21,2025-02-24,307.6
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,28,2025-03-03,321.8
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,1,2025-02-03,229.8
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,7,2025-02-10,257.1
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,14,2025-02-17,282.4
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,21,2025-02-24,303.1
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,28,2025-03-03,317.2
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,1,2025-02-03,232.6
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,7,2025-02-10,260.3
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,14,2025-02-17,285.1
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,21,2025-02-24,306.4
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,28,2025-03-03,319.6
TOX-2025-0118-P,M401,4,High Dose,Male,400,1,2025-02-03,229.4
TOX-2025-0118-P,M401,4,High Dose,Male,400,7,2025-02-10,246.8
TOX-2025-0118-P,M401,4,High Dose,Male,400,14,2025-02-17,261.4
TOX-2025-0118-P,M401,4,High Dose,Male,400,21,2025-02-24,274.6
TOX-2025-0118-P,M401,4,High Dose,Male,400,28,2025-03-03,286.3
TOX-2025-0118-P,M402,4,High Dose,Male,400,1,2025-02-03,232.1
TOX-2025-0118-P,M402,4,High Dose,Male,400,7,2025-02-10,249.6
TOX-2025-0118-P,M402,4,High Dose,Male,400,14,2025-02-17,264.8
TOX-2025-0118-P,M402,4,High Dose,Male,400,21,2025-02-24,278.2
TOX-2025-0118-P,M402,4,High Dose,Male,400,28,2025-03-03,289.7
TOX-2025-0118-P,M403,4,High Dose,Male,400,1,2025-02-03,228.7
TOX-2025-0118-P,M403,4,High Dose,Male,400,7,2025-02-10,245.3
TOX-2025-0118-P,M403,4,High Dose,Male,400,14,2025-02-17,259.8
TOX-2025-0118-P,M403,4,High Dose,Male,400,21,2025-02-24,272.4
TOX-2025-0118-P,M403,4,High Dose,Male,400,28,2025-03-03,284.1
TOX-2025-0118-P,M404,4,High Dose,Male,400,1,2025-02-03,231.6
TOX-2025-0118-P,M404,4,High Dose,Male,400,7,2025-02-10,248.4
TOX-2025-0118-P,M404,4,High Dose,Male,400,14,2025-02-17,263.7
TOX-2025-0118-P,M404,4,High Dose,Male,400,21,2025-02-24,277.1
TOX-2025-0118-P,M404,4,High Dose,Male,400,28,2025-03-03,288.6
TOX-2025-0118-P,M405,4,High Dose,Male,400,1,2025-02-03,230.3
TOX-2025-0118-P,M405,4,High Dose,Male,400,7,2025-02-10,247.2
TOX-2025-0118-P,M405,4,High Dose,Male,400,14,2025-02-17,262.1
TOX-2025-0118-P,M405,4,High Dose,Male,400,21,2025-02-24,275.8
TOX-2025-0118-P,M405,4,High Dose,Male,400,28,2025-03-03,287.4
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,1,2025-02-03,181.4
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,7,2025-02-10,201.6
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,14,2025-02-17,217.8
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,21,2025-02-24,230.4
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,28,2025-03-03,242.7
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,1,2025-02-03,185.8
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,7,2025-02-10,206.2
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,14,2025-02-17,222.4
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,21,2025-02-24,235.6
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,28,2025-03-03,248.3
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,1,2025-02-03,182.6
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,7,2025-02-10,203.1
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,14,2025-02-17,219.2
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,21,2025-02-24,231.8
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,28,2025-03-03,244.1
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,1,2025-02-03,184.3
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,7,2025-02-10,205.4
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,14,2025-02-17,221.6
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,21,2025-02-24,234.2
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,28,2025-03-03,246.8
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,1,2025-02-03,183.7
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,7,2025-02-10,204.8
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,14,2025-02-17,220.8
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,21,2025-02-24,233.4
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,28,2025-03-03,245.6
TOX-2025-0118-P,F201,2,Low Dose,Female,25,1,2025-02-03,182.8
TOX-2025-0118-P,F201,2,Low Dose,Female,25,7,2025-02-10,202.9
TOX-2025-0118-P,F201,2,Low Dose,Female,25,14,2025-02-17,219.4
TOX-2025-0118-P,F201,2,Low Dose,Female,25,21,2025-02-24,231.6
TOX-2025-0118-P,F201,2,Low Dose,Female,25,28,2025-03-03,244.3
TOX-2025-0118-P,F202,2,Low Dose,Female,25,1,2025-02-03,186.4
TOX-2025-0118-P,F202,2,Low Dose,Female,25,7,2025-02-10,207.1
TOX-2025-0118-P,F202,2,Low Dose,Female,25,14,2025-02-17,223.2
TOX-2025-0118-P,F202,2,Low Dose,Female,25,21,2025-02-24,236.4
TOX-2025-0118-P,F202,2,Low Dose,Female,25,28,2025-03-03,249.1
TOX-2025-0118-P,F203,2,Low Dose,Female,25,1,2025-02-03,183.2
TOX-2025-0118-P,F203,2,Low Dose,Female,25,7,2025-02-10,203.8
TOX-2025-0118-P,F203,2,Low Dose,Female,25,14,2025-02-17,220.1
TOX-2025-0118-P,F203,2,Low Dose,Female,25,21,2025-02-24,232.7
TOX-2025-0118-P,F203,2,Low Dose,Female,25,28,2025-03-03,245.4
TOX-2025-0118-P,F204,2,Low Dose,Female,25,1,2025-02-03,184.7
TOX-2025-0118-P,F204,2,Low Dose,Female,25,7,2025-02-10,205.8
TOX-2025-0118-P,F204,2,Low Dose,Female,25,14,2025-02-17,221.9
TOX-2025-0118-P,F204,2,Low Dose,Female,25,21,2025-02-24,234.8
TOX-2025-0118-P,F204,2,Low Dose,Female,25,28,2025-03-03,247.2
TOX-2025-0118-P,F205,2,Low Dose,Female,25,1,2025-02-03,184.1
TOX-2025-0118-P,F205,2,Low Dose,Female,25,7,2025-02-10,205.2
TOX-2025-0118-P,F205,2,Low Dose,Female,25,14,2025-02-17,221.3
TOX-2025-0118-P,F205,2,Low Dose,Female,25,21,2025-02-24,233.9
TOX-2025-0118-P,F205,2,Low Dose,Female,25,28,2025-03-03,246.4
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,1,2025-02-03,183.6
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,7,2025-02-10,202.4
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,14,2025-02-17,216.8
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,21,2025-02-24,227.3
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,28,2025-03-03,234.8
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,1,2025-02-03,182.1
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,7,2025-02-10,200.8
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,14,2025-02-17,214.9
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,21,2025-02-24,225.4
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,28,2025-03-03,232.7
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,1,2025-02-03,184.8
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,7,2025-02-10,203.7
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,14,2025-02-17,218.2
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,21,2025-02-24,228.9
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,28,2025-03-03,236.4
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,1,2025-02-03,183.1
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,7,2025-02-10,201.6
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,14,2025-02-17,216.1
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,21,2025-02-24,226.8
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,28,2025-03-03,234.1
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,1,2025-02-03,184.2
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,7,2025-02-10,202.9
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,14,2025-02-17,217.4
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,21,2025-02-24,228.1
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,28,2025-03-03,235.6
TOX-2025-0118-P,F401,4,High Dose,Female,400,1,2025-02-03,183.8
TOX-2025-0118-P,F401,4,High Dose,Female,400,7,2025-02-10,196.4
TOX-2025-0118-P,F401,4,High Dose,Female,400,14,2025-02-17,206.7
TOX-2025-0118-P,F401,4,High Dose,Female,400,21,2025-02-24,213.2
TOX-2025-0118-P,F401,4,High Dose,Female,400,28,2025-03-03,218.4
TOX-2025-0118-P,F402,4,High Dose,Female,400,1,2025-02-03,185.2
TOX-2025-0118-P,F402,4,High Dose,Female,400,7,2025-02-10,197.8
TOX-2025-0118-P,F402,4,High Dose,Female,400,14,2025-02-17,208.4
TOX-2025-0118-P,F402,4,High Dose,Female,400,21,2025-02-24,215.1
TOX-2025-0118-P,F402,4,High Dose,Female,400,28,2025-03-03,220.7
TOX-2025-0118-P,F403,4,High Dose,Female,400,1,2025-02-03,182.6
TOX-2025-0118-P,F403,4,High Dose,Female,400,7,2025-02-10,195.1
TOX-2025-0118-P,F403,4,High Dose,Female,400,14,2025-02-17,205.4
TOX-2025-0118-P,F403,4,High Dose,Female,400,21,2025-02-24,212.3
TOX-2025-0118-P,F403,4,High Dose,Female,400,28,2025-03-03,217.6
TOX-2025-0118-P,F404,4,High Dose,Female,400,1,2025-02-03,184.7
TOX-2025-0118-P,F404,4,High Dose,Female,400,7,2025-02-10,197.2
TOX-2025-0118-P,F404,4,High Dose,Female,400,14,2025-02-17,207.8
TOX-2025-0118-P,F404,4,High Dose,Female,400,21,2025-02-24,214.6
TOX-2025-0118-P,F404,4,High Dose,Female,400,28,2025-03-03,219.8
TOX-2025-0118-P,F405,4,High Dose,Female,400,1,2025-02-03,183.4
TOX-2025-0118-P,F405,4,High Dose,Female,400,7,2025-02-10,196.8
TOX-2025-0118-P,F405,4,High Dose,Female,400,14,2025-02-17,207.1
TOX-2025-0118-P,F405,4,High Dose,Female,400,21,2025-02-24,213.8
TOX-2025-0118-P,F405,4,High Dose,Female,400,28,2025-03-03,218.9
