study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,organ,organ_label,paired,weight_g,bw_at_necropsy_g,organ_to_bw_ratio,necropsy_date
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,heart,Heart,N,1.12,317.2,0.3531,2025-03-04
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,brain,Brain,N,1.86,317.2,0.5864,2025-03-04
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,spleen,Spleen,N,0.76,317.2,0.2396,2025-03-04
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,thymus,Thymus,N,0.34,317.2,0.1072,2025-03-04
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,liver,Liver,N,12.91,319.6,4.0394,2025-03-04
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,kidney,Kidneys (paired),Y,2.33,319.6,0.729,2025-03-04
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,heart,Heart,N,1.13,319.6,0.3536,2025-03-04
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,brain,Brain,N,1.87,319.6,0.5851,2025-03-04
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,spleen,Spleen,N,0.77,319.6,0.2409,2025-03-04
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,thymus,Thymus,N,0.34,319.6,0.1064,2025-03-04
TOX-2025-0118-P,M401,4,High Dose,Male,400,liver,Liver,N,15.24,286.3,5.3231,2025-03-04
TOX-2025-0118-P,M401,4,High Dose,Male,400,kidney,Kidneys (paired),Y,2.63,286.3,0.9186,2025-03-04
TOX-2025-0118-P,M401,4,High Dose,Male,400,heart,Heart,N,1.17,286.3,0.4087,2025-03-04
TOX-2025-0118-P,M401,4,High Dose,Male,400,brain,Brain,N,1.86,286.3,0.6497,2025-03-04
TOX-2025-0118-P,M401,4,High Dose,Male,400,spleen,Spleen,N,0.81,286.3,0.2829,2025-03-04
TOX-2025-0118-P,M401,4,High Dose,Male,400,thymus,Thymus,N,0.28,286.3,0.0978,2025-03-04
TOX-2025-0118-P,M402,4,High Dose,Male,400,liver,Liver,N,15.48,289.7,5.3435,2025-03-04
TOX-2025-0118-P,M402,4,High Dose,Male,400,kidney,Kidneys (paired),Y,2.67,289.7,0.9216,2025-03-04
TOX-2025-0118-P,M402,4,High Dose,Male,400,heart,Heart,N,1.18,289.7,0.4073,2025-03-04
TOX-2025-0118-P,M402,4,High Dose,Male,400,brain,Brain,N,1.87,289.7,0.6455,2025-03-04
TOX-2025-0118-P,M402,4,High Dose,Male,400,spleen,Spleen,N,0.83,289.7,0.2865,2025-03-04
TOX-2025-0118-P,M402,4,High Dose,Male,400,thymus,Thymus,N,0.29,289.7,0.1001,2025-03-04
TOX-2025-0118-P,M403,4,High Dose,Male,400,liver,Liver,N,15.18,284.1,5.3432,2025-03-04
TOX-2025-0118-P,M403,4,High Dose,Male,400,kidney,Kidneys (paired),Y,2.61,284.1,0.9187,2025-03-04
TOX-2025-0118-P,M403,4,High Dose,Male,400,heart,Heart,N,1.16,284.1,0.4083,2025-03-04
TOX-2025-0118-P,M403,4,High Dose,Male,400,brain,Brain,N,1.85,284.1,0.6512,2025-03-04
TOX-2025-0118-P,M403,4,High Dose,Male,400,spleen,Spleen,N,0.8,284.1,0.2816,2025-03-04
TOX-2025-0118-P,M403,4,High Dose,Male,400,thymus,Thymus,N,0.28,284.1,0.0986,2025-03-04
TOX-2025-0118-P,M404,4,High Dose,Male,400,liver,Liver,N,15.42,288.6,5.343,2025-03-04
TOX-2025-0118-P,M404,4,High Dose,Male,400,kidney,Kidneys (paired),Y,2.66,288.6,0.9217,2025-03-04
TOX-2025-0118-P,M404,4,High Dose,Male,400,heart,Heart,N,1.18,288.6,0.4089,2025-03-04
TOX-2025-0118-P,M404,4,High Dose,Male,400,brain,Brain,N,1.87,288.6,0.648,2025-03-04
TOX-2025-0118-P,M404,4,High Dose,Male,400,spleen,Spleen,N,0.82,288.6,0.2841,2025-03-04
TOX-2025-0118-P,M404,4,High Dose,Male,400,thymus,Thymus,N,0.29,288.6,0.1005,2025-03-04
TOX-2025-0118-P,M405,4,High Dose,Male,400,liver,Liver,N,15.31,287.4,5.3271,2025-03-04
TOX-2025-0118-P,M405,4,High Dose,Male,400,kidney,Kidneys (paired),Y,2.64,287.4,0.9186,2025-03-04
TOX-2025-0118-P,M405,4,High Dose,Male,400,heart,Heart,N,1.17,287.4,0.4071,2025-03-04
TOX-2025-0118-P,M405,4,High Dose,Male,400,brain,Brain,N,1.86,287.4,0.6472,2025-03-04
TOX-2025-0118-P,M405,4,High Dose,Male,400,spleen,Spleen,N,0.81,287.4,0.2818,2025-03-04
TOX-2025-0118-P,M405,4,High Dose,Male,400,thymus,Thymus,N,0.28,287.4,0.0974,2025-03-04
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,liver,Liver,N,8.52,242.7,3.5105,2025-03-04
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,kidney,Kidneys (paired),Y,1.51,242.7,0.6222,2025-03-04
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,heart,Heart,N,0.85,242.7,0.3502,2025-03-04
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,brain,Brain,N,1.84,242.7,0.7581,2025-03-04
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,spleen,Spleen,N,0.59,242.7,0.2431,2025-03-04
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,thymus,Thymus,N,0.41,242.7,0.1689,2025-03-04
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,liver,Liver,N,8.74,248.3,3.5199,2025-03-04
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,kidney,Kidneys (paired),Y,1.55,248.3,0.6242,2025-03-04
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,heart,Heart,N,0.88,248.3,0.3544,2025-03-04
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,brain,Brain,N,1.87,248.3,0.7531,2025-03-04
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,spleen,Spleen,N,0.62,248.3,0.2497,2025-03-04
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,thymus,Thymus,N,0.43,248.3,0.1732,2025-03-04
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,liver,Liver,N,8.61,244.1,3.5272,2025-03-04
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,kidney,Kidneys (paired),Y,1.52,244.1,0.6227,2025-03-04
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,heart,Heart,N,0.86,244.1,0.3523,2025-03-04
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,brain,Brain,N,1.85,244.1,0.7579,2025-03-04
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,spleen,Spleen,N,0.6,244.1,0.2458,2025-03-04
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,thymus,Thymus,N,0.41,244.1,0.168,2025-03-04
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,liver,Liver,N,8.71,246.8,3.5292,2025-03-04
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,kidney,Kidneys (paired),Y,1.54,246.8,0.624,2025-03-04
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,heart,Heart,N,0.87,246.8,0.3525,2025-03-04
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,brain,Brain,N,1.86,246.8,0.7536,2025-03-04
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,spleen,Spleen,N,0.61,246.8,0.2472,2025-03-04
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,thymus,Thymus,N,0.42,246.8,0.1702,2025-03-04
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,liver,Liver,N,8.65,245.6,3.522,2025-03-04
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,kidney,Kidneys (paired),Y,1.53,245.6,0.623,2025-03-04
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,heart,Heart,N,0.87,245.6,0.3542,2025-03-04
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,brain,Brain,N,1.86,245.6,0.7573,2025-03-04
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,spleen,Spleen,N,0.61,245.6,0.2484,2025-03-04
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,thymus,Thymus,N,0.42,245.6,0.171,2025-03-04
TOX-2025-0118-P,F201,2,Low Dose,Female,25,liver,Liver,N,8.67,244.3,3.5489,2025-03-04
TOX-2025-0118-P,F201,2,Low Dose,Female,25,kidney,Kidneys (paired),Y,1.52,244.3,0.6222,2025-03-04
TOX-2025-0118-P,F201,2,Low Dose,Female,25,heart,Heart,N,0.86,244.3,0.352,2025-03-04
TOX-2025-0118-P,F201,2,Low Dose,Female,25,brain,Brain,N,1.85,244.3,0.7573,2025-03-04
TOX-2025-0118-P,F201,2,Low Dose,Female,25,spleen,Spleen,N,0.6,244.3,0.2456,2025-03-04
TOX-2025-0118-P,F201,2,Low Dose,Female,25,thymus,Thymus,N,0.41,244.3,0.1678,2025-03-04
TOX-2025-0118-P,F202,2,Low Dose,Female,25,liver,Liver,N,8.81,249.1,3.5367,2025-03-04
TOX-2025-0118-P,F202,2,Low Dose,Female,25,kidney,Kidneys (paired),Y,1.56,249.1,0.6263,2025-03-04
TOX-2025-0118-P,F202,2,Low Dose,Female,25,heart,Heart,N,0.88,249.1,0.3533,2025-03-04
TOX-2025-0118-P,F202,2,Low Dose,Female,25,brain,Brain,N,1.87,249.1,0.7507,2025-03-04
TOX-2025-0118-P,F202,2,Low Dose,Female,25,spleen,Spleen,N,0.63,249.1,0.2529,2025-03-04
TOX-2025-0118-P,F202,2,Low Dose,Female,25,thymus,Thymus,N,0.42,249.1,0.1686,2025-03-04
TOX-2025-0118-P,F203,2,Low Dose,Female,25,liver,Liver,N,8.69,245.4,3.5412,2025-03-04
TOX-2025-0118-P,F203,2,Low Dose,Female,25,kidney,Kidneys (paired),Y,1.53,245.4,0.6235,2025-03-04
TOX-2025-0118-P,F203,2,Low Dose,Female,25,heart,Heart,N,0.86,245.4,0.3504,2025-03-04
TOX-2025-0118-P,F203,2,Low Dose,Female,25,brain,Brain,N,1.85,245.4,0.7539,2025-03-04
TOX-2025-0118-P,F203,2,Low Dose,Female,25,spleen,Spleen,N,0.61,245.4,0.2486,2025-03-04
TOX-2025-0118-P,F203,2,Low Dose,Female,25,thymus,Thymus,N,0.41,245.4,0.1671,2025-03-04
TOX-2025-0118-P,F204,2,Low Dose,Female,25,liver,Liver,N,8.76,247.2,3.5437,2025-03-04
TOX-2025-0118-P,F204,2,Low Dose,Female,25,kidney,Kidneys (paired),Y,1.55,247.2,0.627,2025-03-04
TOX-2025-0118-P,F204,2,Low Dose,Female,25,heart,Heart,N,0.87,247.2,0.3519,2025-03-04
TOX-2025-0118-P,F204,2,Low Dose,Female,25,brain,Brain,N,1.86,247.2,0.7524,2025-03-04
TOX-2025-0118-P,F204,2,Low Dose,Female,25,spleen,Spleen,N,0.62,247.2,0.2508,2025-03-04
TOX-2025-0118-P,F204,2,Low Dose,Female,25,thymus,Thymus,N,0.42,247.2,0.1699,2025-03-04
TOX-2025-0118-P,F205,2,Low Dose,Female,25,liver,Liver,N,8.73,246.4,3.543,2025-03-04
TOX-2025-0118-P,F205,2,Low Dose,Female,25,kidney,Kidneys (paired),Y,1.54,246.4,0.625,2025-03-04
TOX-2025-0118-P,F205,2,Low Dose,Female,25,heart,Heart,N,0.87,246.4,0.3531,2025-03-04
TOX-2025-0118-P,F205,2,Low Dose,Female,25,brain,Brain,N,1.86,246.4,0.7549,2025-03-04
TOX-2025-0118-P,F205,2,Low Dose,Female,25,spleen,Spleen,N,0.62,246.4,0.2516,2025-03-04
TOX-2025-0118-P,F205,2,Low Dose,Female,25,thymus,Thymus,N,0.41,246.4,0.1664,2025-03-04
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,liver,Liver,N,9.68,234.8,4.1227,2025-03-04
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,kidney,Kidneys (paired),Y,1.64,234.8,0.6985,2025-03-04
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,heart,Heart,N,0.87,234.8,0.3705,2025-03-04
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,brain,Brain,N,1.84,234.8,0.7836,2025-03-04
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,spleen,Spleen,N,0.63,234.8,0.2683,2025-03-04
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,thymus,Thymus,N,0.37,234.8,0.1576,2025-03-04
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,liver,Liver,N,9.54,232.7,4.0997,2025-03-04
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,kidney,Kidneys (paired),Y,1.62,232.7,0.6962,2025-03-04
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,heart,Heart,N,0.86,232.7,0.3696,2025-03-04
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,brain,Brain,N,1.83,232.7,0.7864,2025-03-04
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,spleen,Spleen,N,0.62,232.7,0.2664,2025-03-04
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,thymus,Thymus,N,0.36,232.7,0.1547,2025-03-04
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,liver,Liver,N,9.76,236.4,4.1286,2025-03-04
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,kidney,Kidneys (paired),Y,1.65,236.4,0.698,2025-03-04
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,heart,Heart,N,0.88,236.4,0.3723,2025-03-04
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,brain,Brain,N,1.85,236.4,0.7826,2025-03-04
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,spleen,Spleen,N,0.64,236.4,0.2707,2025-03-04
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,thymus,Thymus,N,0.38,236.4,0.1607,2025-03-04
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,liver,Liver,N,9.62,234.1,4.1094,2025-03-04
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,kidney,Kidneys (paired),Y,1.63,234.1,0.6963,2025-03-04
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,heart,Heart,N,0.87,234.1,0.3716,2025-03-04
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,brain,Brain,N,1.84,234.1,0.786,2025-03-04
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,spleen,Spleen,N,0.63,234.1,0.2691,2025-03-04
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,thymus,Thymus,N,0.37,234.1,0.1581,2025-03-04
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,liver,Liver,N,9.71,235.6,4.1214,2025-03-04
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,kidney,Kidneys (paired),Y,1.64,235.6,0.6961,2025-03-04
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,heart,Heart,N,0.87,235.6,0.3693,2025-03-04
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,brain,Brain,N,1.84,235.6,0.781,2025-03-04
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,spleen,Spleen,N,0.63,235.6,0.2674,2025-03-04
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,thymus,Thymus,N,0.37,235.6,0.157,2025-03-04
TOX-2025-0118-P,F401,4,High Dose,Female,400,liver,Liver,N,11.74,218.4,5.3755,2025-03-04
TOX-2025-0118-P,F401,4,High Dose,Female,400,kidney,Kidneys (paired),Y,1.86,218.4,0.8516,2025-03-04
TOX-2025-0118-P,F401,4,High Dose,Female,400,heart,Heart,N,0.9,218.4,0.4121,2025-03-04
TOX-2025-0118-P,F401,4,High Dose,Female,400,brain,Brain,N,1.83,218.4,0.8379,2025-03-04
TOX-2025-0118-P,F401,4,High Dose,Female,400,spleen,Spleen,N,0.67,218.4,0.3068,2025-03-04
TOX-2025-0118-P,F401,4,High Dose,Female,400,thymus,Thymus,N,0.3,218.4,0.1374,2025-03-04
TOX-2025-0118-P,F402,4,High Dose,Female,400,liver,Liver,N,11.91,220.7,5.3965,2025-03-04
TOX-2025-0118-P,F402,4,High Dose,Female,400,kidney,Kidneys (paired),Y,1.89,220.7,0.8564,2025-03-04
TOX-2025-0118-P,F402,4,High Dose,Female,400,heart,Heart,N,0.91,220.7,0.4123,2025-03-04
TOX-2025-0118-P,F402,4,High Dose,Female,400,brain,Brain,N,1.84,220.7,0.8337,2025-03-04
TOX-2025-0118-P,F402,4,High Dose,Female,400,spleen,Spleen,N,0.68,220.7,0.3081,2025-03-04
TOX-2025-0118-P,F402,4,High Dose,Female,400,thymus,Thymus,N,0.31,220.7,0.1405,2025-03-04
TOX-2025-0118-P,F403,4,High Dose,Female,400,liver,Liver,N,11.68,217.6,5.3676,2025-03-04
TOX-2025-0118-P,F403,4,High Dose,Female,400,kidney,Kidneys (paired),Y,1.85,217.6,0.8502,2025-03-04
TOX-2025-0118-P,F403,4,High Dose,Female,400,heart,Heart,N,0.9,217.6,0.4136,2025-03-04
TOX-2025-0118-P,F403,4,High Dose,Female,400,brain,Brain,N,1.83,217.6,0.841,2025-03-04
TOX-2025-0118-P,F403,4,High Dose,Female,400,spleen,Spleen,N,0.66,217.6,0.3033,2025-03-04
TOX-2025-0118-P,F403,4,High Dose,Female,400,thymus,Thymus,N,0.3,217.6,0.1379,2025-03-04
TOX-2025-0118-P,F404,4,High Dose,Female,400,liver,Liver,N,11.84,219.8,5.3867,2025-03-04
TOX-2025-0118-P,F404,4,High Dose,Female,400,kidney,Kidneys (paired),Y,1.88,219.8,0.8553,2025-03-04
TOX-2025-0118-P,F404,4,High Dose,Female,400,heart,Heart,N,0.91,219.8,0.414,2025-03-04
TOX-2025-0118-P,F404,4,High Dose,Female,400,brain,Brain,N,1.84,219.8,0.8371,2025-03-04
TOX-2025-0118-P,F404,4,High Dose,Female,400,spleen,Spleen,N,0.67,219.8,0.3048,2025-03-04
