study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,tissue,observation,is_collected_for_histo,comment,necropsy_date
TOX-2025-0118-P,M404,4,High Dose,Male,400,Liver,Enlarged,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,M404,4,High Dose,Male,400,All other tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M405,4,High Dose,Male,400,Liver,Enlarged,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,M405,4,High Dose,Male,400,All other tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F201,2,Low Dose,Female,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F202,2,Low Dose,Female,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F203,2,Low Dose,Female,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F204,2,Low Dose,Female,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F205,2,Low Dose,Female,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F401,4,High Dose,Female,400,Liver,Enlarged; pale-tan discoloration,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,F401,4,High Dose,Female,400,All other tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F402,4,High Dose,Female,400,Liver,Enlarged; pale-tan discoloration,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,F402,4,High Dose,Female,400,All other tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F403,4,High Dose,Female,400,Liver,Enlarged,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,F403,4,High Dose,Female,400,All other tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F404,4,High Dose,Female,400,Liver,Enlarged,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,F404,4,High Dose,Female,400,All other tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,F405,4,High Dose,Female,400,Liver,Enlarged,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,F405,4,High Dose,Female,400,All other tissues,No remarkable gross findings,N,,2025-03-04
