study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,dose_volume_mlkg,species,strain,age_at_arrival_weeks,bw_at_receipt_g,arrival_date,acclimation_start,day1_date,necropsy_date,disposition,necropsy_type,comments
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,216.8,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,219.6,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M401,4,High Dose,Male,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,216.4,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M402,4,High Dose,Male,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,219.1,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M403,4,High Dose,Male,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,215.7,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M404,4,High Dose,Male,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,218.6,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M405,4,High Dose,Male,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,217.3,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,171.4,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,175.8,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,172.6,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174.3,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173.7,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F201,2,Low Dose,Female,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,172.8,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F202,2,Low Dose,Female,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,176.4,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F203,2,Low Dose,Female,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173.2,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F204,2,Low Dose,Female,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174.7,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F205,2,Low Dose,Female,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174.1,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173.6,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,172.1,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174.8,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173.1,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174.2,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F401,4,High Dose,Female,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173.8,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F402,4,High Dose,Female,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,175.2,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F403,4,High Dose,Female,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,172.6,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F404,4,High Dose,Female,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174.7,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,F405,4,High Dose,Female,400,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173.4,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
