study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,tissue,finding,grade,grade_text,distribution,comment
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F201,2,Low Dose,Female,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F201,2,Low Dose,Female,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F202,2,Low Dose,Female,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F202,2,Low Dose,Female,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F203,2,Low Dose,Female,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F203,2,Low Dose,Female,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F204,2,Low Dose,Female,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F204,2,Low Dose,Female,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F205,2,Low Dose,Female,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F205,2,Low Dose,Female,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,Liver,Hepatocellular hypertrophy,1,Minimal,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,Liver,Hepatocellular hypertrophy,1,Minimal,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F401,4,High Dose,Female,400,Liver,Hepatocellular hypertrophy,2,Mild,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,F401,4,High Dose,Female,400,Liver,Centrilobular necrosis,2,Mild,Centrilobular distribution,Pathology peer-reviewed
TOX-2025-0118-P,F401,4,High Dose,Female,400,Kidneys,Renal tubular basophilia,1,Minimal,Cortical,Pathology peer-reviewed
TOX-2025-0118-P,F401,4,High Dose,Female,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F401,4,High Dose,Female,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F401,4,High Dose,Female,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F401,4,High Dose,Female,400,Thymus,Lymphoid depletion,1,Minimal,Diffuse,Consistent with stress-related involution
TOX-2025-0118-P,F401,4,High Dose,Female,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F401,4,High Dose,Female,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F401,4,High Dose,Female,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F401,4,High Dose,Female,400,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F402,4,High Dose,Female,400,Liver,Hepatocellular hypertrophy,2,Mild,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,F402,4,High Dose,Female,400,Kidneys,Renal tubular basophilia,1,Minimal,Cortical,Pathology peer-reviewed
TOX-2025-0118-P,F402,4,High Dose,Female,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F402,4,High Dose,Female,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F402,4,High Dose,Female,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F402,4,High Dose,Female,400,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,F402,4,High Dose,Female,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F402,4,High Dose,Female,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F402,4,High Dose,Female,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F402,4,High Dose,Female,400,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F403,4,High Dose,Female,400,Liver,Hepatocellular hypertrophy,2,Mild,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,F403,4,High Dose,Female,400,Kidneys,Renal tubular basophilia,1,Minimal,Cortical,Pathology peer-reviewed
TOX-2025-0118-P,F403,4,High Dose,Female,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F403,4,High Dose,Female,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F403,4,High Dose,Female,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F403,4,High Dose,Female,400,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,F403,4,High Dose,Female,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F403,4,High Dose,Female,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F403,4,High Dose,Female,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F403,4,High Dose,Female,400,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F404,4,High Dose,Female,400,Liver,Hepatocellular hypertrophy,2,Mild,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,F404,4,High Dose,Female,400,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F404,4,High Dose,Female,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F404,4,High Dose,Female,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F404,4,High Dose,Female,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F404,4,High Dose,Female,400,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,F404,4,High Dose,Female,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F404,4,High Dose,Female,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F404,4,High Dose,Female,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F404,4,High Dose,Female,400,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F405,4,High Dose,Female,400,Liver,Hepatocellular hypertrophy,2,Mild,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,F405,4,High Dose,Female,400,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F405,4,High Dose,Female,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F405,4,High Dose,Female,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F405,4,High Dose,Female,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F405,4,High Dose,Female,400,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,F405,4,High Dose,Female,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F405,4,High Dose,Female,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F405,4,High Dose,Female,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F405,4,High Dose,Female,400,Bone marrow,No remarkable findings,0,,,
